ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10536,0,12,0,0,0,19,0,0,0,10
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,0,0,0,0,0,0,0,0
10539,0,22,0,0,0,0,0,12,0,0
10540,17,0,0,0,0,0,0,0,0,7
10541,0,0,0,0,0,23,27,15,0,16
10542,0,0,0,0,0,0,0,0,0,0
10543,0,0,0,0,0,0,0,0,0,0
10544,0,0,0,0,0,0,0,0,0,0
10545,23,23,23,23,23,23,23,23,23,23
10546,0,0,0,0,0,0,0,0,0,0
10547,0,0,0,0,0,11,0,0,8,0
10548,0,0,0,0,0,0,0,0,0,0
10549,18,0,29,14,24,0,11,23,0,0
10550,0,0,0,4,0,25,0,0,9,0
10551,0,0,0,0,0,0,0,0,0,0
10552,0,0,0,0,0,0,0,0,10,0
10553,0,0,0,0,0,0,0,0,3,0
10554,20,0,0,0,0,0,0,0,0,0
10555,0,0,0,0,0,0,0,0,0,0
10556,0,0,0,0,0,14,10,0,0,0
10557,0,0,0,0,0,0,0,0,0,0
10558,13,12,14,9,9,9,9,18,14,23
10559,13,0,0,18,0,6,10,12,0,23
10560,12,12,12,12,12,12,12,12,12,12
10561,0,0,0,0,0,0,0,0,0,0
10562,0,0,0,0,0,0,0,0,0,0
10563,0,0,0,0,0,0,0,0,0,0
10564,0,0,0,0,0,0,0,0,0,0
10565,0,0,0,0,0,0,0,0,0,0
10566,0,0,0,7,0,0,0,0,4,0
10567,0,24,0,34,0,0,0,0,26,14
10568,18,0,0,0,0,21,10,0,12,0
10569,0,0,0,0,0,0,0,12,0,0
10570,18,18,18,18,18,18,18,18,18,18
10571,26,26,26,26,26,26,26,26,26,26
10572,0,0,0,0,0,0,0,0,0,0
10573,7,7,7,7,7,7,7,7,7,7
10574,0,0,0,0,0,0,0,0,7,0
10575,0,0,0,0,0,0,0,0,0,0
10576,0,0,0,0,0,0,0,0,0,0
10577,0,0,0,0,0,0,0,0,0,0
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,9,0,0,0,0,0,0,0
10580,0,0,0,0,0,0,0,17,0,0
10581,0,0,0,0,21,0,0,0,0,14
10582,0,0,0,0,0,0,0,0,0,0
10583,0,19,0,0,0,0,0,0,0,0
10584,0,0,0,0,0,0,0,0,0,0
10585,0,0,0,0,0,0,0,0,0,0
10586,0,0,0,0,0,0,0,0,0,0
10587,0,0,0,0,11,0,0,0,0,0
10588,18,18,18,18,18,18,18,18,18,18
10589,0,0,0,0,0,0,0,0,0,23
10590,0,0,0,0,0,0,0,0,0,0
10591,0,0,5,0,0,0,0,0,0,0
10592,0,0,0,0,0,0,0,0,0,0
10593,19,13,16,0,9,0,0,0,0,0
10594,9,10,13,19,24,8,0,0,17,17
10595,0,0,0,0,0,0,0,0,0,0
10596,22,20,0,0,0,0,3,0,0,23
10597,11,22,26,18,12,15,0,16,6,36
10598,0,0,0,0,0,0,0,0,0,0
10599,0,0,0,0,32,0,0,0,0,0
10600,0,0,0,0,0,0,0,0,0,0
10601,13,13,13,13,13,13,13,13,13,13
10602,16,16,16,16,16,16,16,16,16,16
10603,9,33,26,21,19,25,12,15,39,26
10604,0,7,14,0,0,0,20,38,0,14
10605,18,16,0,9,7,29,25,22,0,11
10606,0,0,0,0,0,0,0,0,0,0
10607,0,0,0,0,0,0,0,0,0,0
10608,0,0,0,0,0,0,0,0,30,0
